Comment,Designator,Footprint,LCSC Part #
"10k","R102, R103, R105, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253, R604, R605, R613, R614, R618, R619, R625, R757, R762, R763, R767, R768, R757_2, R762_2, R763_2, R767_2, R768_2, R421, R426, R427, R421_2, R426_2, R427_2","R0402","C25744"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113, R114, R115, R116, R117, R606, R761, R764, R769, R761_2, R764_2, R769_2","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R170, R171, R175, R176, R180, R181, R185, R186, R190, R191, R196, R197, R200, R209, R218, R227, R236, R245, R257","R0603-4","C66697"
"4.7k","R144, R210, R211, R212, R213, R214, R215, R216, R217, R219, R220, R223, R224, R428, R428_2","R0402","C25900"
"2.2u","C114, C117, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147, R751, R751_2","R0402","C25879"
"1u","C133","C0603","C519560"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228, C751, C751_2","C0402","C1523"
"0","R131, R143, R145","R0402","C17168"
"10u","C821, C822, C823, C824, C825, C826, C827, C828, C829, C830, C821_2, C822_2, C823_2, C824_2, C825_2, C826_2, C827_2, C828_2, C829_2, C830_2","C0805","C440198"
"100n","C831, C430, C431, C831_2","C0603","C14663"
"10n","C832, C833, C832_2, C833_2","C0603","C57112"
"10k","R821, R821_2","R0603","C25804"
"TLE9201SG","U821, U821_2","Infineon_PG-DSO-12-11","C112633"
"1u","C600, C607, C609, C610, C611, C755, C758, C761, C762, C763, C765, C766, C767, C755_2, C758_2, C761_2, C762_2, C763_2, C765_2, C766_2, C767_2, C414, C415, C414_2, C415_2","C0402","C52923"
"33n","C603","C0402","C1585"
"4.7u","C616, C427, C427_2","C0603","C19666"
"VND7NV04TR-E","Q600","DPAK","C155605"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R765, R766, R765_2, R766_2","R0402","C11702"
"68k","R602, R603, R760, R760_2, R422, R422_2","R0402","C36871"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621, R755, R756, R758, R759, R755_2, R756_2, R758_2, R759_2, R471, R473, R471_2, R473_2","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"AD8628","U601","TSOT23-5","C29309"
"STM32F042K6Tx","U602","LQFP32","C69216"
"XC6206P332MR","U604","SOT-23","C5446"
"470n","C752, C752_2","C0402","C47339"
"10k","R752, R753, R752_2, R753_2","R0805","C17414"
"12k","R754, R754_2, R472, R423, R472_2, R423_2","R0402","C25752"
"74AHC1G02","U752, U757, U752_2, U757_2","SOT23-5","C7463"
"MAX9142","U754, U754_2","SO8","C18567"
"100n","C470, C411, C413, C420, C470_2, C411_2, C413_2, C420_2","C0402","C307331"
"3.3n","C471, C471_2","C0402","C26404"
"330p","C472, C472_2","C0402","C13533"
"47p","C473, C473_2","C0402","C1567"
"680p","C474, C474_2","C0603","C1630"
"470k","R470, R470_2","R0402","C25790"
"33k","R474, R411, R424, R425, R474_2, R411_2, R424_2, R425_2","R0402","C25779"
"LMV321IDBVR","U470, U471, U470_2, U471_2","SOT23-5","C7972"
"47u","C410, C412, C410_2, C412_2","C1206","C96123"
"10u","C421, C422, C423, C424, C425, C426, C421_2, C422_2, C423_2, C424_2, C425_2, C426_2","C0603","C96446"
"220p","C429, C429_2","C0402","C1530"
"1N4148WS","D410, D412, D413, D414, D410_2, D412_2, D413_2, D414_2","SOD-323","C2128"
"BAS416","D415, D415_2","SOD-323","C968040"
"PSM712-LF","D411, D411_2","SOT-23","C32677"
"SMCJ30A","D418, D418_2","SMC","C310046"
"SS34","D420, D420_2","SMA","C8678"
"SMD1206P050TF/24","F410, F410_2","SMD1206","C209741"
"2.2uH","L420, L420_2","L1210","C36828"
"MWSA0503-10uH","L421, L421_2","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4, LED1_2, LED2_2, LED3_2, LED4_2","LED0402","C434447"
"6.8k","R410, R413, R410_2, R413_2","R0402","C25917"
"1","R420, R420_2","R0402","C25086"
"MIC5205-3.3YM5","U410, U410_2","SOT23-5","C37970"
"TLS115","U411, U411_2","PG-DSO-8 EP","C540242"
"LMR14020","U420, U420_2","SOP8","C187824"
"nSMD050-24V","F42333310","SMD1206","C70076"
